DSCompilerTest,testIncompatibleParams
ConvexHullGenerator2DAbstractTest,testCollinearPointsIncluded
SubLineTest,testIntersectionInsideBoundary
SubLineTest,testIntersectionInsideOutside
Vector2DFormatAbstractTest,testNan
Vector2DFormatAbstractTest,testForgottenPrefix
Vector2DFormatAbstractTest,testParseNan
Vector2DFormatAbstractTest,testSimpleWithDecimals
Vector2DFormatAbstractTest,testParseSimpleWithDecimals
Vector2DFormatAbstractTest,testSimpleNoDecimals
ArcsSetTest,testSideEmbedded
S2PointTest,testNegativePolarAngle
ConjugateGradientTest,testDimensionMismatchRightHandSide
DiagonalMatrixTest,testMultiplyNonDiagonalEntry
EigenDecompositionTest,testMathpbx02
EigenDecompositionTest,testSquareRootNonSymmetric
EigenDecompositionTest,testDimension3
EigenDecompositionTest,testDimension4WithSplit
FieldLUDecompositionTest,testMatricesValues1
RealMatrixFormatAbstractTest,testSimpleWithDecimals
RealMatrixFormatAbstractTest,testParseSimpleWithDecimals
RealMatrixFormatAbstractTest,testParsePositiveInfinity
RealMatrixFormatAbstractTest,testForgottenPrefix
RealMatrixFormatAbstractTest,testSimpleNoDecimals
RealMatrixFormatAbstractTest,testNan
RealVectorAbstractTest,testAddToEntryInvalidIndex1
RealVectorAbstractTest,testMap
RealVectorAbstractTest,testMapAdd
RealVectorAbstractTest,testCombineDimensionMismatchSameType
RealVectorAbstractTest,testAddSameType
RealVectorAbstractTest,testGetLInfDistanceSameType
RealVectorAbstractTest,testDotProductDimensionMismatchSameType
RealVectorAbstractTest,testGetDistanceSameType
RealVectorAbstractTest,testUnitVectorNullVector
RealVectorAbstractTest,testCosineLeftNullVector
RealVectorAbstractTest,testCombineSameType
RealVectorAbstractTest,testCosineSameType
RealVectorAbstractTest,testGetEntryInvalidIndex1
RealVectorAbstractTest,testOuterProductSameType
RealVectorAbstractTest,testProjectionSameType
RealVectorAbstractTest,testUnitVector
RealVectorAbstractTest,testGetL1DistanceSameType
RealVectorAbstractTest,testSetEntryInvalidIndex1
RealVectorAbstractTest,testSetSubVectorInvalidIndex1
RealVectorAbstractTest,testAddDimensionMismatch
RealVectorAbstractTest,testDotProductSameType
RealVectorFormatAbstractTest,testParseSimpleWithDecimals
RealVectorFormatAbstractTest,testSimpleWithDecimals
RealVectorFormatAbstractTest,testNan
RealVectorFormatAbstractTest,testParseNan
RealVectorFormatAbstractTest,testForgottenPrefix
RealVectorFormatAbstractTest,testSimpleNoDecimals
RealVectorTest,testAppendVector
SparseRealVectorTest,testEbeMultiplyMixedTypes
SymmLQTest,testSolveSaunders1
DBSCANClustererTest,testNegativeEps
LearningFactorFunctionFactoryTest,testExponentialDecayPrecondition2
NeighbourhoodSizeFunctionFactoryTest,testExponentialDecayPrecondition1
NeighbourhoodSizeFunctionFactoryTest,testQuasiSigmoidDecayPrecondition1
ExponentialDecayFunctionTest,testPrecondition1
QuasiSigmoidDecayFunctionTest,testPrecondition1
NeuronSquareMesh2DTest,testMinimalNetworkSize1
CloseEventsTest,testCloseEvents
EventFilterTest,testHistoryDecreasingForward
EventFilterTest,testIncreasingOnly
EventFilterTest,testHistoryIncreasingForward
OverlappingEventsTest,testOverlappingEvents0
ReappearingEventTest,testDormandPrince
AbstractEmbeddedRungeKuttaFieldIntegratorTest,testNonFieldIntegratorConsistency
AbstractRungeKuttaFieldIntegratorTest,testNonFieldIntegratorConsistency
AdamsNordsieckTransformerTest,testTransformExact
AdamsNordsieckTransformerTest,testPolynomialExtraDerivative
EmbeddedRungeKuttaFieldIntegratorAbstractTest,testNonFieldIntegratorConsistency
RungeKuttaFieldIntegratorAbstractTest,testNonFieldIntegratorConsistency
StepNormalizerOutputTestBase,testIncNeither
StepNormalizerOutputTestBase,testIncNeitherRev
StepNormalizerOutputTestBase,testMulNeither
StepNormalizerOutputTestBase,testMulNeitherRev
SimplexSolverTest,testMath272
SimplexSolverTest,testSimplexSolver
MultivariateFunctionMappingAdapterTest,testStartSimplexInsideRange
MultivariateFunctionPenaltyAdapterTest,testStartSimplexInsideRange
SimplexOptimizerMultiDirectionalTest,testMinimize1
SimplexOptimizerNelderMeadTest,testMinimize1
RandomUtilsDataGeneratorAbstractTest,testNextUniformPositiveBounds
StableRandomGeneratorTest,testAlphaRangeAboveTwo
BesselJTest,testIAEBadOrder
KendallsCorrelationTest,testSimpleReversed
KendallsCorrelationTest,testAllTiesInX
KendallsCorrelationTest,testSimpleOrdered
KendallsCorrelationTest,testAllTiesInBoth
SpearmansRankCorrelationTest,testStdErrorConsistency
StorelessCovarianceTest,testLonglySimpleVar
PSquarePercentileTest,testMarkerHeightWithLowerIndex
PSquarePercentileTest,testMarkersWithLowerIndex
PSquarePercentileTest,test99Percentile
PSquarePercentileTest,testMarkersOORLow
PSquarePercentileTest,testNegativeInvalidValues
GTestTest,testGTestIndependance1
KolmogorovSmirnovTestTest,testOneSampleGaussianGaussian
BinomialConfidenceIntervalAbstractTest,testZeroConfidencelevel
NaturalRankingTest,testNaNsMaximalTiesMinimum
MillerUpdatingRegressionTest,testWampler1
MultipleLinearRegressionAbstractTest,testNewSampleInvalidData
OLSMultipleLinearRegressionTest,testWampler1
SimpleRegressionTest,testRemoveSingle
FastMathTest,testToIntExactTooLow
IntegerSequenceTest,testIncreasingRange
OpenIntToDoubleHashMapTest,testPutAndGetWith0ExpectedSize
OpenIntToFieldTest,testPutAndGetWith0ExpectedSize
