org.apache.commons.compress,ArchiveUtilsTest,sanitizeShortensString,sanitizeLeavesShortStringsAlone,sanitizeRemovesUnprintableCharacters,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,writeSmallStoredEntryToStream,writeSmallStoredEntryKnownSizeToFile,writeSmallStoredEntryUnnownSizeToFile,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,writeBigDeflatedEntryKnownSizeToFileModeNever,writeBigDeflatedEntryUnknownSizeToFileModeNever,,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,write100KFilesFileModeAlways,write100KFilesStreamModeAlways,,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,writeSmallDeflatedEntryKnownSizeToFileModeNever,writeSmallDeflatedEntryUnknownSizeToFileModeNever,,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,write3EntriesCreatingBigArchiveFile,write3EntriesCreatingBigArchiveStream,,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,write100KFilesFileModeNever,write100KFilesStreamModeNever,,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,writeBigDeflatedEntryKnownSizeToFile,writeBigDeflatedEntryUnknownSizeToFile,,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,write100KFilesFile,write100KFilesStream,,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,writeSmallDeflatedEntryKnownSizeToFileModeAlways,writeSmallDeflatedEntryUnknownSizeToFileModeAlways,,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,writeSmallDeflatedEntryKnownSizeToStream,writeSmallDeflatedEntryUnknownSizeToStream,,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,writeBigDeflatedEntryKnownSizeToStreamModeAlways,writeBigDeflatedEntryUnknownSizeToStreamModeAlways,,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,writeSmallDeflatedEntryKnownSizeToStreamModeAlways,writeSmallDeflatedEntryUnknownSizeToStreamModeAlways,,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,writeBigStoredEntryToStreamModeNever,writeBigStoredEntryKnownSizeToFileModeNever,writeBigStoredEntryUnnownSizeToFileModeNever,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,writeBigDeflatedEntryKnownSizeToFileModeAlways,writeBigDeflatedEntryUnknownSizeToFileModeAlways,,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,write3EntriesCreatingBigArchiveFileModeAlways,write3EntriesCreatingBigArchiveStreamModeAlways,,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,writeSmallStoredEntryToStreamModeAlways,writeSmallStoredEntryKnownSizeToFileModeAlways,writeSmallStoredEntryUnnownSizeToFileModeAlways,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,write3EntriesCreatingBigArchiveFileModeNever,write3EntriesCreatingBigArchiveStreamModeNever,,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,writeSmallStoredEntryToStreamModeNever,writeSmallStoredEntryKnownSizeToFileModeNever,writeSmallStoredEntryUnnownSizeToFileModeNever,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,writeSmallDeflatedEntryKnownSizeToFile,writeSmallDeflatedEntryUnknownSizeToFile,,,,,,,,
org.apache.commons.compress.archivers.zip,Zip64SupportIT,writeBigStoredEntryToStreamModeAlways,writeBigStoredEntryKnownSizeToFileModeAlways,writeBigStoredEntryUnnownSizeToFileModeAlways,,,,,,,
,ZipEncodingTest,testSimpleCp437Encoding,testSimpleCp850Encoding,,,,,,,,
org.apache.commons.compress.changes,ChangeSetTestCase,testDeleteDir2,testDeleteDir3,,,,,,,,
,ChangeSetTestCase,testDeleteFromTar,testDeleteFromAr,,,,,,,,
org.apache.commons.compress.compressors.deflate,DeflateParametersTest,shouldNotBeAbleToSetCompressionLevelToANegativeValue,shouldNotBeAbleToSetCompressionLevelToADoubleDigitValue,,,,,,,,
,FramedLZ4CompressorInputStreamTest,readDoubledBlaLz4WithDecompressConcatenatedTrue,readDoubledBlaLz4WithDecompressConcatenatedFalse,,,,,,,,
,FramedLZ4CompressorInputStreamTest,readDoubledBlaLz4ViaFactoryWithDecompressConcatenatedTrue,readDoubledBlaLz4ViaFactoryWithDecompressConcatenatedFalse,,,,,,,,
,FramedLZ4CompressorInputStreamTest,rejectsFileWithoutFrameDescriptor,rejectsFileWithoutBlockSizeByte,rejectsFileWithWrongVersion,rejectsFileWithInsufficientContentSize,rejectsFileWithoutHeaderChecksum,rejectsFileWithBadHeaderChecksum,,,,
,FramedLZ4CompressorInputStreamTest,rejectsBlocksWithoutChecksum,rejectsStreamsWithoutContentChecksum,rejectsStreamsWithBadContentChecksum,,,,,,,
,BlockLZ4CompressorOutputStreamTest,canWriteBackReferenceFollowedByLongLiteral,canWriteBackReferenceFollowedByShortLiteralIfOffsetIsBigEnough,canWriteBackReferenceFollowedByShortLiteralIfLengthIsBigEnough,cantWriteBackReferenceFollowedByLiteralThatIsTooShort,cantWriteBackReferenceIfAccumulatedOffsetIsTooShort,,,,,
,BlockLZ4CompressorOutputStreamTest,canWritePairWithoutLiterals,writesCorrectSizeFor19ByteLengthBackReference,writesCorrectSizeFor273ByteLengthBackReference,writesCorrectSizeFor274ByteLengthBackReference,canWritePairWithoutBackReference,,,,,
org.apache.commons.compress.compressors.lz77support,ParametersTest,maxOffsetIsWindowSizeMinus1IfSetTo0,maxOffsetIsWindowSizeMinus1IfSetToANegativeValue,maxOffsetIsWindowSizeMinus1IfBiggerThanWindowSize,,,,,,,
org.apache.commons.compress.compressors.lz77support,ParametersTest,windowSizeMustNotBeSmallerThanMinBackReferenceLength,windowSizeMustBeAPowerOfTwo,,,,,,,,
org.apache.commons.compress.compressors.lz77support,ParametersTest,maxBackReferenceLengthIsMinBackReferenceLengthWhenSmallerThanMinBackReferenceLength,maxBackReferenceLengthIsMinBackReferenceLengthIfBothAreEqual,,,,,,,,
org.apache.commons.compress.compressors.lz77support,ParametersTest,maxLiteralLengthIsWindowSizeIfSetTo0,maxLiteralLengthIsWindowSizeIfSetToANegativeValue,maxLiteralLengthIsWindowSizeIfSetToAValueTooBigToHoldInSlidingWindow,,,,,,,
org.apache.commons.compress.compressors.snappy,SnappyRoundtripTest,gzippedLoremIpsumRoundtrip,biggerFileRoundtrip,,,,,,,,
org.apache.commons.compress.compressors,Pack200TestCase,testJarUnarchiveAllInMemory,testJarUnarchiveAllFileArgInMemory,testJarUnarchiveAllTempFile,testJarUnarchiveAllFileTempFile,,,,,,
,Pack200TestCase,testJarArchiveCreationInMemory,testJarArchiveCreationTempFile,,,,,,,,
,Pack200TestCase,testGoodSignature,testBadSignature,testShortSignature,,,,,,,
,DetectCompressorTestCase,testLZMAMemoryLimit,testZMemoryLimit,,,,,,,,
,DetectCompressorTestCase,testXZMemoryLimitOnRead,testXZMemoryLimitOnSkip,,,,,,,,
